,Frame,Num_detections,Yolo_det,sort_tracks,sort_track_nums,iou_RFID,read_outs
35,35,2,"[[22, 112, 111, 241, 0.9963], [357, 22, 479, 132, 0.9737]]","[[354, 26, 483, 134, 2], [20, 114, 112, 238, 1]]","[2, 1]",{},{}
36,36,2,"[[22, 114, 110, 242, 0.9995], [362, 16, 484, 129, 0.8419]]","[[358, 20, 485, 129, 2], [20, 115, 111, 239, 1]]","[2, 1]",{},{}
37,37,2,"[[20, 117, 104, 243, 0.9999], [366, 21, 486, 124, 0.9973]]","[[363, 19, 488, 126, 2], [19, 116, 108, 241, 1]]","[2, 1]",{},{}
38,38,2,"[[18, 119, 105, 238, 0.9998], [359, 17, 487, 115, 0.9943]]","[[361, 15, 487, 120, 2], [17, 116, 106, 240, 1]]","[2, 1]",{},{}
39,39,2,"[[19, 117, 107, 241, 0.9998], [358, 11, 493, 117, 0.9867]]","[[361, 12, 490, 117, 2], [18, 117, 106, 240, 1]]","[2, 1]",{},{}
40,40,2,"[[17, 109, 110, 247, 0.9978], [367, 7, 487, 120, 0.5715]]","[[364, 10, 490, 117, 2], [18, 114, 108, 242, 1]]","[2, 1]",{},{}
41,41,2,"[[16, 116, 112, 238, 0.997], [371, 8, 488, 120, 0.857]]","[[367, 9, 491, 117, 2], [17, 114, 109, 240, 1]]","[2, 1]",{},{}
42,42,2,"[[17, 115, 114, 240, 0.992], [373, 8, 486, 123, 0.8485]]","[[369, 9, 490, 119, 2], [18, 114, 111, 240, 1]]","[2, 1]",{},{}
43,43,2,"[[17, 113, 113, 241, 0.9969], [370, 11, 485, 121, 0.8844]]","[[369, 10, 488, 119, 2], [17, 113, 112, 240, 1]]","[2, 1]",{},{}
44,44,2,"[[19, 107, 106, 241, 0.9986], [371, 13, 488, 118, 0.9293]]","[[370, 10, 489, 119, 2], [17, 110, 109, 239, 1]]","[2, 1]",{},{}
45,45,2,"[[23, 107, 101, 247, 0.9998], [377, 15, 497, 121, 0.9452]]","[[375, 12, 494, 120, 2], [18, 110, 106, 241, 1]]","[2, 1]",{},{}
46,46,2,"[[25, 126, 106, 253, 0.9993], [368, 20, 492, 116, 0.9879]]","[[372, 15, 492, 119, 2], [21, 119, 107, 249, 1]]","[2, 1]",{},{}
47,47,2,"[[26, 132, 106, 249, 0.994], [368, 20, 490, 116, 0.9927]]","[[370, 16, 490, 118, 2], [23, 125, 107, 252, 1]]","[2, 1]",{},{}
48,48,2,"[[17, 141, 108, 238, 0.9915], [368, 18, 488, 118, 0.9641]]","[[369, 17, 489, 118, 2], [20, 130, 107, 248, 1]]","[2, 1]",{},{}
49,49,2,"[[15, 115, 94, 250, 0.9926], [368, 21, 493, 112, 0.9828]]","[[369, 17, 491, 115, 2], [15, 124, 100, 245, 1]]","[2, 1]",{},{}
50,50,2,"[[13, 111, 97, 253, 0.9774], [371, 17, 486, 115, 0.9318]]","[[369, 17, 489, 115, 2], [13, 119, 98, 246, 1]]","[2, 1]",{},{}
51,51,2,"[[371, 20, 489, 112, 0.9448], [11, 111, 100, 252, 0.9266]]","[[370, 17, 489, 113, 2], [12, 116, 98, 247, 1]]","[2, 1]",{},{}
52,52,2,"[[18, 137, 113, 243, 0.9423], [371, 18, 488, 116, 0.7421]]","[[370, 18, 489, 114, 2], [17, 125, 106, 248, 1]]","[2, 1]",{},{}
53,53,2,"[[367, 23, 491, 116, 0.9789], [19, 138, 114, 241, 0.9031]]","[[369, 20, 489, 115, 2], [19, 130, 110, 247, 1]]","[2, 1]",{},{}
54,54,2,"[[371, 22, 490, 121, 0.9407], [10, 115, 101, 248, 0.9163]]","[[370, 22, 490, 118, 2], [13, 123, 104, 244, 1]]","[2, 1]",{},{}
55,55,2,"[[10, 114, 100, 247, 0.8923], [371, 18, 486, 133, 0.5084]]","[[370, 23, 488, 124, 2], [10, 119, 101, 244, 1]]","[2, 1]",{},{}
